Date,Open,High,Low,Close,Volume
02/10/2023,"216.90","220.78","208.11","212.65","55,073,680"
02/09/2023,"226.06","230.20","221.20","223.37","52,387,578"
02/08/2023,"223.87","228.78","220.08","222.05","55,965,121"
02/07/2023,"213.82","222.59","211.50","221.73","66,414,961"
02/06/2023,"208.06","215.70","207.86","210.89","45,219,711"
02/03/2023,"210.00","217.45","207.89","211.00","42,936,602"
02/02/2023,"210.00","219.49","207.00","217.09","56,427,578"
02/01/2023,"196.91","211.92","196.11","209.43","66,047,703"
01/31/2023,"191.70","196.87","189.50","195.37","49,801,660"
01/30/2023,"199.50","201.40","191.50","191.62","48,861,121"
01/27/2023,"194.62","206.28","194.05","203.65","54,214,199"
01/26/2023,"197.01","201.66","192.78","198.02","48,953,539"
01/25/2023,"189.13","193.70","185.80","193.23","44,953,711"
01/24/2023,"188.27","194.95","188.20","192.65","49,620,406"
01/23/2023,"180.64","192.45","178.18","191.93","65,516,262"
01/20/2023,"170.11","178.56","168.25","178.39","56,496,711"
01/19/2023,"170.36","171.97","167.31","167.65","45,293,160"
01/18/2023,"176.67","178.73","172.82","173.77","43,962,359"
01/17/2023,"168.99","177.28","168.99","177.02","51,110,219"
01/13/2023,"162.78","169.22","161.65","168.99","44,728,711"
01/12/2023,"161.00","166.37","154.92","165.11","55,140,910"
01/11/2023,"158.40","160.28","155.63","160.01","35,328,488"
01/10/2023,"155.07","159.62","154.72","159.09","38,410,129"
01/09/2023,"152.84","160.56","151.41","156.28","50,423,059"
01/06/2023,"144.74","150.10","140.34","148.59","40,504,359"
01/05/2023,"144.91","145.64","141.48","142.65","38,916,809"
01/04/2023,"145.67","148.53","142.41","147.49","43,132,359"
01/03/2023,"148.51","149.96","140.96","143.15","40,127,660"
12/30/2022,"143.34","146.29","142.33","146.14","31,048,980"
12/29/2022,"144.02","146.83","142.27","146.03","35,492,320"
12/28/2022,"139.27","142.62","138.84","140.36","35,106,648"
12/27/2022,"150.74","151.00","140.56","141.21","46,490,230"
12/23/2022,"151.96","153.39","148.83","152.06","34,932,559"
12/22/2022,"160.94","161.38","148.82","153.39","56,504,527"
12/21/2022,"161.14","166.27","161.02","165.01","32,502,539"
12/20/2022,"160.64","163.10","158.52","160.85","40,325,980"
12/19/2022,"165.72","166.09","161.45","162.54","35,403,879"
12/16/2022,"168.64","170.41","164.10","165.71","47,823,191"
12/15/2022,"171.46","173.20","167.00","169.52","47,854,207"
12/14/2022,"179.87","182.52","174.20","176.74","49,688,809"
12/13/2022,"185.31","187.90","177.11","180.72","65,658,883"
12/12/2022,"170.37","175.38","167.97","175.35","45,732,781"
12/09/2022,"171.60","175.83","169.75","170.01","46,533,820"
12/08/2022,"162.73","171.79","159.59","171.69","51,545,551"
12/07/2022,"157.72","161.86","156.67","161.20","37,238,762"
12/06/2022,"165.30","165.73","158.19","159.87","35,269,434"
12/05/2022,"166.79","169.95","164.72","166.10","35,225,520"
12/02/2022,"166.59","169.33","164.45","168.76","37,138,859"
12/01/2022,"169.99","172.65","166.35","171.35","47,097,660"
11/30/2022,"156.97","169.30","155.97","169.23","56,529,820"
11/29/2022,"158.27","159.32","155.20","156.39","29,838,449"
11/28/2022,"160.26","163.57","157.25","158.27","30,415,199"
11/25/2022,"163.18","164.87","161.72","162.70","16,793,430"
11/23/2022,"160.98","165.27","160.48","165.19","42,724,090"
11/22/2022,"153.28","160.58","151.22","160.38","47,286,609"
11/21/2022,"151.47","154.77","150.80","153.17","40,473,930"
11/18/2022,"159.66","160.02","151.20","154.09","49,207,168"
11/17/2022,"157.15","162.66","155.35","156.77","71,089,359"
11/16/2022,"161.62","163.62","158.73","159.10","64,954,680"
11/15/2022,"167.22","169.98","163.82","166.66","54,587,551"
11/14/2022,"162.18","165.40","159.22","162.95","52,785,246"
11/11/2022,"158.08","163.89","154.82","163.27","65,548,750"
11/10/2022,"148.00","157.73","145.47","157.50","70,081,930"
11/09/2022,"141.62","142.11","137.59","137.76","45,441,367"
11/08/2022,"148.01","148.91","142.16","146.02","59,529,199"
11/07/2022,"142.28","144.12","139.54","143.01","41,006,102"
11/04/2022,"139.86","142.29","136.97","141.56","61,257,594"
11/03/2022,"130.43","137.81","129.56","134.21","50,006,488"
11/02/2022,"138.50","142.10","132.11","132.19","67,262,781"
11/01/2022,"138.11","139.25","135.19","135.43","43,281,688"
10/31/2022,"137.78","138.38","132.97","134.97","48,634,102"
10/28/2022,"131.04","138.50","130.61","138.34","52,103,992"
10/27/2022,"136.30","138.38","131.22","131.76","58,311,312"
10/26/2022,"128.69","133.88","127.08","128.96","53,553,328"
10/25/2022,"126.94","133.00","126.64","132.61","50,548,230"
10/24/2022,"125.08","127.10","120.64","125.99","51,745,738"
10/21/2022,"120.98","124.98","118.87","124.66","60,949,441"
10/20/2022,"121.13","127.69","121.05","121.94","65,239,762"
10/19/2022,"118.79","123.50","118.34","120.51","52,313,059"
10/18/2022,"123.44","124.92","116.18","119.67","65,936,211"
10/17/2022,"115.18","119.48","115.17","118.88","58,077,422"
10/14/2022,"120.57","121.11","112.04","112.27","71,343,203"
10/13/2022,"109.71","120.78","108.13","119.60","85,010,305"
10/12/2022,"115.79","117.35","113.45","115.00","49,259,020"
10/11/2022,"115.61","118.46","112.83","115.86","66,748,156"
10/10/2022,"120.37","121.24","114.08","116.70","69,869,930"
